id,word,rank,stars,part_of_speech,meaning_ja,definition_en,example_1_en,example_1_ja,example_2_en,example_2_ja,example_3_en,example_3_ja
20,I,20,★★★★★,pronoun,私は,the person who is speaking or writing,I will call you back as soon as I get home.,家に帰ったらすぐに折り返し電話するね。,It will probably rain later this afternoon.,今日の午後遅くにはおそらく雨が降るだろう。,"Don't worry, things will definitely get better soon.",心配しないで、状況はすぐにきっと良くなるよ。
21,do,21,★★★★★,verb,する,to perform an action or activity; to work on something,What do you want to eat for dinner tonight?,今夜の夕飯に何が食べたい？,I need to do the laundry before going out.,出かける前に洗濯をしなきゃいけないんだ。,"Do your best, and don't worry about the outcome.",ベストを尽くせばいいよ、結果を心配しないで。
22,as,22,★★★★★,conjunction,～のように,used to refer to the same degree or amount,You can borrow my umbrella as long as you return it.,返してくれる限り、私の傘を貸してあげるよ。,He works as a barista at the local coffee shop.,彼は近所のカフェでバリスタとして働いている。,She smiled as she opened the birthday gift.,彼女は誕生日プレゼントを開けながら微笑んだ。
23,at,23,★★★★★,preposition,～で,"used to indicate place, location, or arrival",Let's meet at the train station at six.,6時に駅で待ち合わせしよう。,I am really bad at remembering people's names.,私は人の名前を覚えるのが本当に苦手なんだ。,She was looking at the lovely puppy in the pet shop window.,彼女はペットショップの窓にいる可愛い子犬を見ていた。
24,she,24,★★★★★,pronoun,彼女,used to refer to a female that is the subject,She always brings delicious homemade cookies to the office.,彼女はいつも手作りの美味しいクッキーをオフィスに持ってきてくれる。,Is she coming to our dinner party this Friday?,今週の金曜日のディナーパーティーに彼女は来るの？,She loves reading mystery novels before going to sleep.,彼女は寝る前にミステリー小説を読むのが大好きだ。
25,but,25,★★★★★,conjunction,でも,used to contrast a statement with a to previous one,"I wanted to go for a run, but it started pouring rain.",走りに行きたかったけれど、土砂降りの雨が降り始めた。,"The pizza was cheap, but it tasted surprisingly good.",そのピザは安かったけれど、驚くほど美味しかった。,"Excuse me, but could you tell me how to get to the museum?",すみませんが、博物館への行き方を教えていただけますか？
26,from,26,★★★★★,preposition,～から,indicating the starting point of motion or action,Where did you get that lovely coffee mug from?,その素敵なコーヒーマグはどこで手に入れたの？,The flight from Tokyo to Hawaii takes about seven hours.,東京からハワイまでのフライトは約7時間かかる。,I received a warm greeting card from my grandparents.,祖父母から温かいグリーティングカードが届いた。
27,by,27,★★★★★,preposition,の近くに,"close to or next to, up to and beyond, beside a place",Let's sit by the window so we can enjoy the view.,景色を楽しめるように窓のそばに座ろう。,Please make sure to finish your chores by tomorrow morning.,明日の朝までに家事を終わらせるようにしてね。,I usually commute to the office by bicycle when it's sunny.,晴れている日は普段自転車でオフィスに通勤している。
28,will,28,★★★★★,verb,～だろう,"expressing the future, to say something is expected to happen",I will call you as soon as I arrive at the airport.,空港に着いたらすぐに電話するよ。,Do you think it will snow later this evening?,今夜遅くに雪が降ると思う？,"Don't worry, things will definitely get better soon.",心配しないで、状況はすぐにきっと良くなるよ。
29,or,29,★★★★★,conjunction,～か,"used to link alternatives, to introduce another choice",Would you prefer hot coffee or iced tea?,温かいコーヒーとアイスティーのどちらがいいですか？,We can take the bus or just walk along the river.,バスに乗ってもいいし、川沿いを歩いて行ってもいいよ。,"Hurry up, or we will miss the beginning of the concert!",急いで、じゃないとコンサートの始まりに遅れちゃうよ！
30,say,30,★★★★★,verb,言う,to use your voice to express something with words,What did he say when you told him the good news?,その良い知らせを伝えた時、彼は何て言った？,It's hard to say when the package will actually arrive.,その荷物が実際にいつ届くかは言うのが難しいね。,Did anyone say thank you after you helped them?,手伝った後、誰かありがとうって言ってくれた？
31,go,31,★★★★★,verb,行く,to move or travel from one place to another,Do you want to go to the grocery store with me?,一緒にスーパーに行かない？,I usually go for a walk in the evening to relax.,普段はリラックスするために夕方に散歩に行きます。,"Time to go, otherwise we will miss the train!",出発の時間だよ、じゃないと電車に乗り遅れちゃう！
32,so,32,★★★★★,adverb,とても,to a  degree that is suggested or stated,The coffee was so hot that I burned my tongue.,コーヒーがとても熱かったので舌を火傷しちゃった。,"It was raining, so we decided to stay indoors.",雨が降っていたので、家の中にいることにした。,Thank you so much for your kind help today!,今日は親切に助けてくれて本当にありがとう！
33,all,33,★★★★★,determiner,全て,"the whole, entire or total amount",Did you eat all the cookies on the table?,テーブルの上にあったクッキーを全部食べたの？,We stayed up all night watching funny movies.,私たちは一晩中起きて面白い映画を観ていた。,All of my coworkers are very friendly and supportive.,同僚はみんなとてもフレンドリーで協力的なんだ。
34,if,34,★★★★★,conjunction,もし,introducing a condition for something to happen,Let me know if you need any help with dinner.,夕飯の準備で何か手伝いが必要なら教えてね。,"If it rains tomorrow, we can visit the art museum.",もし明日雨が降ったら、美術館に行こう。,I wonder if the bakery is still open right now.,パン屋さんは今まだ開いているかしら。
35,one,35,★★★★★,noun,1、ひとり、ひとつ,"the number 1, a single person or thing",Can I have one more slice of that delicious pie?,その美味しいパイをもう1切れもらってもいい？,She is one of the kindest people I have ever met.,彼女は私が今まで出会った中で最も親切な人の一人です。,"Just one minute, I need to tie my shoelaces.",1分だけ待って、靴ひもを結ばなきゃ。
36,would,36,★★★★★,verb,～だろう,indicating someone thinking about what will happen,Would you like some cold water with lemon?,レモン入りのお冷はいかがですか？,I would love to travel to Italy someday.,いつかイタリアへ旅行に行きたいな。,What would you do in my situation?,私の立場だったらあなたはどうしますか？
37,about,37,★★★★★,preposition,～について,"on the subject of, or concerning something",What were you two chatting about just now?,さっき2人で何についておしゃべりしていたの？,It takes about fifteen minutes to walk to the station.,駅までは歩いておよそ15分かかります。,I was just about to call you when you messaged me.,君からメッセージが来た時、ちょうど電話しようとしていたところだったよ。
38,can,38,★★★★★,verb,～できる,to be able to do something,Can you pass me that bottle of olive oil?,そのオリーブオイルのボトルを取ってくれる？,I can hear the neighbors playing acoustic guitar.,隣の人がアコースティックギターを弾いているのが聞こえるよ。,You can leave your heavy bag by the entrance.,重いカバンは玄関のそばに置いておいていいよ。
39,which,39,★★★★★,pronoun,どちらか,"what one or ones of a group, one or more people or things",Which shirt do you think matches these pants better?,このズボンにはどちらのシャツがより似合うと思う？,We couldn't decide which movie to watch tonight.,今夜どの映画を観るか決められなかったんだ。,This is the coffee shop which opens earliest in town.,ここが街で一番早く開くカフェだよ。
40,there,40,★★★★★,adverb,そこ,"in that place or position, at that location",There is a fresh pot of coffee waiting for you in the kitchen.,キッチンに淹れたてのコーヒーがあるよ。,Look over there; the sunset colors are stunning tonight.,あそこを見て、今夜の夕焼けの色は息をのむほど綺麗だね。,"I haven't been there before, but I heard it's great.",そこには行ったことがないけれど、素晴らしいと聞いたよ。
41,know,41,★★★★★,verb,知る,"to have in your mind, be aware of something",Do you know what time the supermarket closes?,スーパーが何時に閉まるか知ってる？,I know exactly how you feel after that long day.,そんな長い1日の後なら、君の気持ちが本当によく分かるよ。,Let me know whenever you are ready to head out.,出かける準備ができたら教えてね。
42,more,42,★★★★★,adverb,もっと,"greater in amount, number, or size",Would you like a little more soup before I put it away?,片付ける前にもう少しスープ飲む？,I need to practice more if I want to play guitar well.,ギターが上手になりたいなら、もっと練習しなきゃ。,"The more you read, the faster your vocabulary grows.",読めば読むほど語彙力は早く伸びます。
43,get,43,★★★★★,verb,得る,"to obtain, receive or be given something",Where did you get that stylish jacket?,そのオシャレな上着はどこで買ったの？,I hope you get well soon after that cold.,風邪の後、早く良くなるといいね。,Call me as soon as you get home safely.,無事に家に着いたらすぐ電話してね。
44,who,44,★★★★★,pronoun,誰,"what or which person or people, to ask about, talking about",Who left the refrigerator door open?,冷蔵庫のドアを開けっぱなしにしたのは誰？,Do you know who that person standing by the door is?,ドアのそばに立っているあの人が誰か知ってる？,She is the doctor who treated my broken wrist.,彼女が私の手首の骨折を治療してくれたお医者さんです。
45,like,45,★★★★★,verb,好む,to find something agreeable or enjoyable,I like listening to relaxing acoustic music on rainy days.,雨の日は落ち着くアコースティック音楽を聴くのが好きです。,It looks like it's going to clear up by noon.,お昼までには晴れてきそうだね。,Would you like another cup of green tea?,緑茶をもう一杯いかがですか？
46,when,46,★★★★★,adverb,どこ,"at what time, at, in, during which, how soon",When does your favorite television show start?,お気に入りのテレビ番組は何時に始まるの？,I was very surprised when she showed up unannounced.,彼女が予告なしに現れた時はとても驚いたよ。,Call me when you finish your meeting.,会議が終わったら電話してね。
47,think,47,★★★★★,verb,思う,to believe or have a particular idea,What do you think about trying that new pasta place?,あの新しいパスタ屋さんを試してみるのはどう思う？,I think we should leave early to avoid the heavy traffic.,ひどい渋滞を避けるために早く出発した方がいいと思うな。,Let me think about your idea for a few days.,君のアイデアについて数日考えさせてね。
48,make,48,★★★★★,verb,作る,"to build, create, or produce something",I will make some hot pancakes for breakfast tomorrow.,明日の朝ごはんに温かいパンケーキを作るね。,Listening to cheerful music always makes me feel better.,陽気な音楽を聴くといつも気分が良くなるよ。,Make sure to lock the backdoor before going to bed.,寝る前に必ず裏口の鍵を閉めてね。
49,time,49,★★★★★,noun,時間,"something measured in minutes, hours, days, etc.",What time should we meet at the movie theater?,映画館には何時に集合しようか？,We had a wonderful time walking along the beach.,浜辺を散歩してとても素敵な時間を過ごしたよ。,Take your time; there is no need to rush at all.,ゆっくりでいいよ、全然急ぐ必要はないからね。
50,see,50,★★★★★,verb,見る,to notice or become aware of with the eyes,"I see what you mean, that makes a lot of sense.",言いたいことが分かったよ、とても筋が通っているね。,Did you see where I put my reading glasses?,私の老眼鏡をどこに置いたか見た？,It was so nice to see you after all these months!,何ヶ月ぶりかに会えて本当に嬉しかったよ！
51,what,51,★★★★★,pronoun,なに,asking for information about someone or something,What do you want to have for dinner tonight?,今夜の晩ご飯は何が食べたい？,Guess what! I finally passed my driving test today!,何だと思う？今日ついに運転免許の試験に合格したんだよ！,What kind of music do you usually listen to when you relax?,リラックスする時は普段どんな音楽を聴くの？
52,up,52,★★★★★,adverb,上がる,to move towards a high place from a lower one,Can you help me carry this heavy box up the stairs?,この重い箱を階段の上まで運ぶのを手伝ってくれる？,I usually wake up around six thirty on weekdays.,平日はたいてい6時半頃に起きるよ。,Don't give up; you're making steady progress every day!,諦めないで、毎日着実に進歩しているよ！
53,some,53,★★★★★,adjective,いくらか,used to refer to an unspecified amount or number,Would you like some hot green tea before we head out?,出かける前に温かい緑茶を少し飲む？,I bought some fresh apples and oranges at the market.,市場で新鮮なリンゴとオレンジを少し買ってきたよ。,Some days I just want to stay at home and read all day.,何日かはただ家で一日中読書をしていたい日もあるよね。
54,other,54,★★★★★,adjective,他,used to mention a person or thing is different from already mentioned,Do you have this shirt in any other colors?,このシャツの他の色はありますか？,"One shoe is here, but where is the other one?",片方の靴はここにあるけど、もう片方はどこだろう？,Let's respect each other's opinions during the meeting.,打ち合わせではお互いの意見を尊重し合いましょう。
55,out,55,★★★★★,adverb,外へ,in a direction or movement away from the inside or center,Let's go out for a quick walk; the weather is lovely.,散歩に出かけようよ、とてもいい天気だよ。,"We ran out of milk, so I'll stop by the grocery store.",牛乳を切らしたから、スーパーに寄ってくるね。,Please watch out for the wet floor near the entrance.,入口付近の濡れた床に気をつけてください。
56,good,56,★★★★★,adjective,良い,of high quality,"Have a good day at work, and drive safely!",仕事頑張って良い一日をね、気をつけて運転して！,This vegetable soup smells really good and appetizing.,この野菜スープ、とても良い香りで食欲をそそるね。,It's a good habit to drink a glass of water every morning.,毎朝コップ一杯の水を飲むのは良い習慣だよ。
57,people,57,★★★★★,noun,人々,"human beings in general, plural of person",Many people were taking photos in the cherry blossom park.,桜の公園ではたくさんの人々が写真を撮っていたよ。,Meeting new people at social events can be exciting.,交流イベントで新しい人々と出会うのは刺激的だね。,Some people prefer tea over morning coffee.,朝のコーヒーより紅茶を好む人々もいるよ。
58,year,58,★★★★★,noun,年,a unit of time equal to 12 months or 365 days,We are planning to visit family in Hokkaido this year.,今年は北海道の家族を訪ねる計画を立てているよ。,Happy New Year! Wishing you health and happiness.,あけましておめでとう！健康と幸せを祈っています。,She has been practicing acoustic guitar for over a year.,彼女はアコースティックギターを1年以上練習しているよ。
59,take,59,★★★★★,verb,持っていく、取る,"to carry or move with one's hands, to reach for",Don't forget to take an umbrella; it might rain later.,後で雨が降るかもしれないから傘を持っていくのを忘れないで。,Let's take a ten-minute break and stretch our legs.,10分休憩を取って足を伸ばそうよ。,How long does it take to walk to the nearest train station?,最寄りの駅まで歩いてどれくらいの時間がかかりますか？
60,no,60,★★★★★,adverb,いいえ、ない,"not at all, in a way that shows a negative response","No problem at all, I'm glad I could help you out!",全く問題ないよ、手助けできてよかった！,There is no sugar left in the kitchen jar.,キッチンの瓶にはもう砂糖が残っていないよ。,He gave no clear answer when I asked about his plans.,彼の予定を尋ねた時、彼は明確な返事をしなかった。
61,well,61,★★★★★,adverb,上手く、上手に,"in a successful way, in a good or satisfactory way",She speaks English and Spanish very well.,彼女は英語とスペイン語をとても上手に話すよ。,"Sleep well tonight, and don't stay up too late!",今夜はぐっすりよく寝て、夜更かししないでね！,"Well, that depends on what time we finish our chores.",まあ、それは家事が何時に終わるかによるね。
62,because,62,★★★★★,conjunction,なぜならば,for a reason,I went to bed early because I was feeling sleepy.,眠かったので早くベッドに入ったよ。,We stayed inside because of the heavy thunderstorm.,激しい雷雨のため、私たちは屋内に留まっていた。,I love this cozy cafe because the coffee is always fresh.,コーヒーがいつも新鮮だから、この落ち着くカフェが大好きなんだ。
63,very,63,★★★★★,adverb,とても,to a high degree,Thank you very much for your kind assistance today.,本日は親切に助けていただき、本当にありがとうございました。,"It was very hot yesterday, but today feels much cooler.",昨日はとても暑かったけれど、今日はだいぶ涼しく感じるね。,She was very excited to show me her new puppy.,彼女は新しい子犬を私に見せるのにとてもワクワクしていた。
64,just,64,★★★★★,adverb,ただ～,"exactly, to an exact degree or manner",I just arrived at the station; where should we meet?,たった今駅に着いたところだよ、どこで会おうか？,Could you wait just a minute while I grab my jacket?,上着を取ってくる間、ほんの1分だけ待ってくれる？,"It was just a misunderstanding, so don't worry about it.",ただの誤解だったから、気にしないでいいよ。
65,come,65,★★★★★,verb,来る,"to move toward someone, to approach",Would you like to come over to our place for dinner?,夕飯を食べに私たちの家に遊びに来ない？,"Spring has finally come, and flowers are blooming.",ついに春が来て、花々が咲き始めているよ。,Come and see this funny cat video on my phone!,私のスマホにあるこの面白い猫の動画を見においでよ！
66,could,66,★★★★★,verb,できた,"used as the past tense of can, to indicate possibility",Could you please open the window for some fresh air?,新鮮な空気を入れるために窓を開けていただけますか？,"When I was little, I could ride a bike without hands.",幼い頃、私は手放しで自転車に乗ることができた。,We could go to the beach tomorrow if it stays sunny.,もし明日も晴れていれば海に行けるね。
67,work,67,★★★★★,verb,働く,to have a job or activity involving mental or physical effort,What time do you usually finish work on Fridays?,金曜日は普段何時に仕事が終わるの？,I need to work on my presentation for tomorrow morning.,明日の朝のプレゼンテーションに取り組む必要があるんだ。,My phone charger doesn't work; I think the cable is broken.,スマホの充電器が動かないんだ、コードが壊れたみたい。
68,use,68,★★★★★,verb,使う,to do something with another thing,May I use your smartphone charger for ten minutes?,スマホの充電器を10分ほど使わせてもらってもいいですか？,We should use olive oil instead of butter for this pasta.,このパスタにはバターの代わりにオリーブオイルを使うべきだよ。,I learned how to use this new photo editing app.,この新しい写真編集アプリの使い方を覚えたよ。
69,than,69,★★★★★,conjunction,～より,used to introduce a second part that is being compared,This handmade soup is much warmer than the canned one.,この手作りスープは缶詰のものよりずっと温かいね。,I prefer riding a bicycle rather than driving in city traffic.,都会の交通渋滞で車を運転するより自転車に乗る方が好きだな。,She arrived at the cafe earlier than everyone else.,彼女は他の誰よりも早くカフェに到着したよ。
70,now,70,★★★★★,adverb,今,at the present time or moment,"I am cooking dinner right now, so please give me ten minutes.",今まさに夕飯を作っているところだから、10分待ってね。,"Now that the rain has stopped, let's take the dog outside.",雨が止んだことだし、犬を外へ連れて行こうよ。,Where do you live now after moving from Osaka?,大阪から引っ越した後は、今はどこに住んでいるの？
71,then,71,★★★★★,adverb,その時、それから,"at that time, at the time mentioned, after that","Let's finish our homework first, and then watch a movie.",まずは宿題を終わらせて、それから映画を観よう。,"If you are too tired to cook, then let's order takeout.",もし料理するのに疲れすぎているなら、それならテイクアウトを頼もう。,I was living in an apartment near the station back then.,当時は駅の近くのアパートに住んでいたんだ。
72,also,72,★★★★★,adverb,～もまた,"in addition, too, in a similar way",She likes reading mystery novels and also enjoys baking cookies.,彼女はミステリー小説を読むのが好きで、クッキーを焼くのもまた好きだ。,"I ordered a latte, and I also got a warm cinnamon roll.",ラテを注文して、温かいシナモンロールもまた頼んだよ。,Regular exercise is also very effective for reducing stress.,定期的な運動はストレス軽減にもまたとても効果的だよ。
73,into,73,★★★★★,preposition,～の中に,introduce movement toward the inside of something,Pour the warm milk into the ceramic mug slowly.,温かい牛乳を陶器のマグカップにゆっくり注いでね。,She walked into the bookstore to escape the sudden rain.,彼女は突然の雨を避けるために本屋の中へと入っていった。,"Recently, he got into making drip coffee every morning.",最近、彼は毎朝ドリップコーヒーを淹れることにハマっている。
74,only,74,★★★★★,adverb,たった,alone in a class or category,There is only one slice of apple pie left on the plate.,お皿の上にはアップルパイがたった1切れしか残っていないよ。,It only takes fifteen minutes to walk to the library.,図書館までは歩いてたった15分しかかからないよ。,This cozy cafe is only open on Saturday mornings.,この落ち着くカフェは土曜の午前中しか開いていないんだ。
75,look,75,★★★★★,verb,見る,to direct one's gaze in a particular direction,Look at those fluffy white clouds floating in the blue sky.,青空に浮かぶあのふわふわした白い雲を見てごらん。,You look very happy today; did something good happen?,今日すごく嬉しそうに見えるね、何か良いことあった？,I will look for my missing keys under the car seat.,車の座席の下にある見当たらない鍵を探してみるよ。
76,want,76,★★★★★,verb,欲しい,to desire or wish for,Do you want to grab lunch together around noon?,正午ごろに一緒にランチでも食べに行かない？,I want to learn how to cook delicious Italian pasta.,美味しいイタリアンパスタの作り方を学びたいな。,She wants to visit her grandparents during the long holiday.,彼女は連休中に祖父母に会いに行きたがっているよ。
77,give,77,★★★★★,verb,与える,to hand over or present something to another,Can you give me a hand moving this wooden table?,この木製テーブルを動かすのをちょっと手伝ってくれる？,I will give you a call as soon as I arrive at the hotel.,ホテルに着いたらすぐに電話をかけるね。,Give yourself some credit; you did a wonderful job today!,自分を褒めてあげなよ、今日は本当に素晴らしい出来だったよ！
78,first,78,★★★★★,ord,最初,coming before all others in time or place,This is my first time trying spicy Thai cuisine.,スパイシーなタイ料理を食べるのはこれが初めてなんだ。,Let's finish washing the dishes first before we sit down.,座る前に、まずは先にお皿洗いを終わらせよう。,The first cherry blossom of the season bloomed this morning.,今シーズン最初の桜の花が今朝咲いたよ。
79,new,79,★★★★★,adjective,新しい,"not old, recently born, built or created",I bought a new pair of running shoes for jogging.,ジョギング用に新しいランニングシューズを一足買ったよ。,There is a new Italian bakery opening near the station tomorrow.,明日駅の近くに新しいイタリアンベーカリーがオープンするよ。,Welcome to our city! I hope you enjoy your new neighborhood.,ようこそ私たちの街へ！新しい近所を楽しんでくれるといいな。
80,way,80,★★★★★,noun,方法,a manner or characteristic of something,Can you tell me the best way to get to the museum?,博物館へ行く一番良い道を教えていただけますか？,I love the way the morning sunlight comes through the window.,窓から朝の陽ざしが差し込む様子がとても好きだな。,"On my way home, I bought some fresh milk and eggs.",家に帰る途中で、新鮮な牛乳と卵を買ってきたよ。
81,find,81,★★★★★,verb,見つける,to discover something,I can't find my reading glasses anywhere in the room.,部屋のどこを探しても老眼鏡が見つからないんだ。,Did you find a nice parking spot near the supermarket?,スーパーの近くに良い駐車スペースは見つかった？,You will find that learning a few phrases makes traveling fun.,少しのフレーズを覚えるだけで旅が楽しくなることに気づくはずだよ。
82,over,82,★★★★★,preposition,超える,in an upward direction across something,Why don't you come over to our place for Sunday brunch?,日曜日のブランチに私たちの家に遊びにおいでよ！,"The rain is finally over, so let's go for a walk.",ようやく雨が終わったから、散歩に出かけよう。,There is a lovely wooden bridge over the quiet river.,静かな川の上に素敵な木製の橋が架かっているよ。
83,any,83,★★★★★,determiner,何か,used to refer to something not particular or specific,Do you have any recommendations for a good sushi restaurant?,美味しいお寿司屋さんのオススメは何かありますか？,"If you have any questions, feel free to ask me anytime.",何か質問があれば、いつでも気軽に聞いてね。,We don't have any eggs left in the refrigerator.,冷蔵庫には卵が一つも残っていないよ。
84,after,84,★★★★★,preposition,後で,"following in time, at a later time",Let's go for a coffee break after finishing this chore.,この家事を終わらせた後で、コーヒー休憩にしよう。,She always takes a hot shower after her evening workout.,彼女は夕方のワークアウトの後はいつも温かいシャワーを浴びる。,The sky looks so clear and bright after the heavy rain.,大雨の後、空がとても澄んで明るく見えるね。
85,day,85,★★★★★,noun,日,each of the 24 hours beginning at midnight,Have a wonderful and productive day at school!,学校で素敵で実りある一日を過ごしてね！,"It was a warm and sunny day, perfect for a picnic.",暖かく晴れた日で、ピクニックにはうってつけだったよ。,I take a brisk walk in the neighborhood every single day.,私は毎日欠かさず近所を早歩きで散歩しているよ。
86,where,86,★★★★★,adverb,どこ,to be in at or in what place?,Where did you put the car keys this morning?,今朝、車の鍵をどこに置いたの？,Do you know where the nearest convenience store is?,一番近いコンビニがどこにあるか知ってる？,This is the cozy park where we first met five years ago.,ここが5年前に私たちが初めて出会ったあの落ち着く公園だよ。
87,thing,87,★★★★★,noun,物,"an object, animal, or quality doesn't have a specific name",Don't worry about it; small mistakes are a natural thing.,気にしないで、小さな間違いは当たり前のことだよ。,The best thing about weekends is sleeping in without an alarm.,週末の一番良いところは、目覚ましなしでゆっくり眠れることだ。,Can you help me pack this fragile glass thing carefully?,この割れやすいガラスの物を丁寧に梱包するのを手伝ってくれる？
88,most,88,★★★★★,adverb,もっとも,almost all of something,Most people enjoy having a cup of hot coffee in the morning.,たいていの人は朝に温かいコーヒーを飲むのを楽しんでいる。,What was the most memorable part of your trip to Kyoto?,京都旅行で最も心に残った部分はどこでしたか？,She spent most of her Saturday afternoon tending the garden.,彼女は土曜の午後の大半を庭の手入れをして過ごした。
