id,word,rank,part_of_speech,functional_type,example_en,example_ja,note
15,instead,620,adv,logic_direction,"We didn't eat out tonight; instead, we cooked pasta together.","今夜は外食せず、代わりに一緒にパスタを作った。","adv. その代わりに"
16,complain,1230,v,system_action,"He always complains about how hot the weather is in summer.","彼は夏になるといつも天気の暑さについて愚痴を言う。","v. 不満を言う・愚痴る"
17,subtle,2350,adj,system_state,"There is a subtle difference in taste between these two coffees.","これら2つのコーヒーの味には微妙な違いがある。","adj. 微妙な・かすかな"
18,eventually,950,adv,logic_direction,"We got lost downtown, but eventually found that famous bakery.","街中で迷子になったが、最終的にはあの有名なパン屋を見つけた。","adv. 最終的に・結局は"
19,encourage,1040,v,system_action,"My friends encouraged me to try learning a musical instrument.","友達が楽器を習ってみるよう私を励まして（後押しして）くれた。","v. 励ます・後押しする"
20,reluctant,2480,adj,system_state,"He was reluctant to attend the party because he is shy.","彼は人見知りのため、パーティーに参加するのを嫌がっていた。","adj. 気が進まない・嫌がる"
21,supposedly,2610,adv,logic_direction,"That ramen shop is supposedly the best, but lines are long.","あのラーメン屋は一番美味しいらしいが、行列が長い。","adv. 〜とされている・噂では"
22,compromise,2180,v,system_action,"We couldn't decide on dinner, so we compromised on pizza.","夕飯がなかなか決まらなかったので、妥協してピザにした。","v. 妥協する・歩み寄る"
23,furious,2320,adj,system_state,"She was furious when she found someone had scratched her car.","誰かが車に傷をつけたと分かった時、彼女は激怒していた。","adj. 激怒した・怒り心頭の"
24,preference,2030,n,domain_entity,"Do you have any preference for what movie we watch tonight?","今夜観る映画について、何か希望や好みはある？","n. 好み・希望・優先"
25,pretend,1520,v,system_action,"He pretended to be asleep so he wouldn't have to clean.","彼は掃除をしなくて済むように寝たふりをした。","v. ふりをする"
26,skeptical,2550,adj,system_state,"I was skeptical about his story until I saw the pictures.","写真を見るまで、私は彼の話を半信半疑（疑わしい）に思っていた。","adj. 懐疑的な・疑い深い"
27,basically,1140,adv,logic_direction,"Basically, all you need to bring to the barbecue is drinks.","要するに（基本的に）、BBQに持って行くのは飲み物だけでいいよ。","adv. 要するに・基本的に"
28,remind,870,v,system_action,"Can you remind me to buy eggs on the way home?","帰り道に卵を買うのを私に思い出させてくれる？","v. 思い出させる"
29,jealous,2240,adj,system_state,"Don't be jealous just because he got a bigger slice of cake.","彼の方が大きいケーキをもらったからって嫉妬しないで。","adj. 嫉妬深い・羨ましい"
30,misunderstanding,2170,n,domain_entity,"It was just a small misunderstanding between two close friends.","それは親しい友人同士のちょっとした誤解に過ぎなかった。","n. 誤解・行き違い"
31,despite,680,prep,logic_direction,"She came to work with a smile despite having a headache.","頭痛がしていたにもかかわらず、彼女は笑顔で出勤した。","prep. 〜にもかかわらず"
32,bother,1310,v,system_action,"I am sorry to bother you while you are having dinner.","夕食の最中にお邪魔して（お手を煩わせて）すみません。","v. 煩わせる・邪魔する"
33,spontaneous,2680,adj,system_state,"We made a spontaneous decision to take a weekend road trip.","私たちは思いつきで週末のドライブ旅行に出かけることにした。","adj. 自発的な・思いつきの"
34,compliment,2420,n,domain_entity,"Thank you for the nice compliment on my new winter haircut!","新しい冬の髪型を褒めてくれて（褒め言葉を）ありがとう！","n. 褒め言葉・賛辞"
35,actually,320,adv,logic_direction,"I thought he was mad at me, but actually he was tired.","私に怒っているのかと思ったが、実際は疲れていただけだった。","adv. 実は・実際には"
36,tease,2390,v,system_action,"Don't take him seriously; he was only teasing you a little.","真に受けないでね、彼はちょっとからかっていただけだから。","v. からかう・いじる"
37,curious,1580,adj,system_state,"I was curious to know why the store closed so early today.","なぜ今日その店がそんなに早く閉まったのか興味があった（気になった）。","adj. 好奇心旺盛な・気になる"
38,habit,1280,n,domain_entity,"Drinking a glass of warm water every morning became my habit.","毎朝コップ一杯の白湯を飲むのが私の日課（習慣）になった。","n. 習慣・クセ"
39,frankly,1860,adv,logic_direction,"Frankly speaking, I find horror movies too stressful to watch.","率直に言って、ホラー映画は観るのがストレスになりすぎる。","adv. 率直に・ぶっちゃけ"
40,avoid,920,v,system_action,"I took the scenic route to avoid heavy traffic on the highway.","高速道路の激しい渋滞を避けるため、景色の良い道を通った。","v. 避ける・回避する"
41,frustrating,2120,adj,system_state,"It is so frustrating when you lose your keys right before leaving.","出かける直前に鍵をなくすのは本当にイライラする（もどかしい）。","adj. イライラする・もどかしい"
42,excuse,1020,n,domain_entity,"Don't look for an excuse; just start taking small daily steps.","言い訳を探すのはやめて、毎日小さな一歩を踏み出そう。","n. 言い訳・口実"
43,apparently,1380,adv,logic_direction,"Apparently, the concert tickets sold out in less than ten minutes.","どうやら、そのコンサートチケットは10分足らずで完売したらしい。","adv. どうやら〜らしい"
44,afford,1160,v,system_action,"I would love to travel to Europe, but I can't afford it.","ヨーロッパ旅行に行きたいけれど、今は経済的にそんな余裕がない。","v. 余裕がある"
45,embarrassing,1980,adj,system_state,"It was quite embarrassing when I called my teacher Mom by mistake.","間違えて先生のことを「お母さん」と呼んでしまい、とても恥ずかしかった。","adj. 恥ずかしい・赤面の"
46,atmosphere,1690,n,domain_entity,"The local coffee shop has a warm and quiet atmosphere for reading.","その地元の喫茶店は読書にぴったりの温かく静かな雰囲気がある。","n. 雰囲気・空気感"
47,handle,990,v,system_action,"Don't worry about cooking dinner tonight; I can handle it myself.","今夜の夕飯作りは心配しないで、私が自分で何とかできるから。","v. 対処する・こなす"
48,generous,2080,adj,system_state,"It was very generous of him to pay for everyone's dinner.","全員分の夕飯をご馳走してくれるなんて、彼はとても気前が良かった。","adj. 気前の良い・寛大な"
49,priority,1840,n,domain_entity,"Getting enough sleep should be your highest priority right now.","十分な睡眠をとることが、今のあなたにとって最優先事項であるべきだ。","n. 最優先事項・優先度"
50,recognize,830,v,system_action,"I didn't recognize her at first because of her stylish new glasses.","お洒落な新しい眼鏡をかけていたので、最初は彼女だと分からなかった。","v. 見分ける・認識する"
